datetime,date,hour,day_of_week,day_name,is_weekend,in,out,total_traffic,net_traffic,is_open
2025-09-14 01:00:00,2025-09-14,1,6,Sunday,1,0,0,0,0,0
2025-09-14 02:00:00,2025-09-14,2,6,Sunday,1,0,0,0,0,0
2025-09-14 03:00:00,2025-09-14,3,6,Sunday,1,0,0,0,0,0
2025-09-14 04:00:00,2025-09-14,4,6,Sunday,1,0,0,0,0,0
2025-09-14 05:00:00,2025-09-14,5,6,Sunday,1,0,0,0,0,0
2025-09-14 06:00:00,2025-09-14,6,6,Sunday,1,0,0,0,0,0
2025-09-14 07:00:00,2025-09-14,7,6,Sunday,1,0,0,0,0,0
2025-09-14 08:00:00,2025-09-14,8,6,Sunday,1,0,0,0,0,0
2025-09-14 09:00:00,2025-09-14,9,6,Sunday,1,0,0,0,0,0
2025-09-14 10:00:00,2025-09-14,10,6,Sunday,1,7,8,15,-1,1
2025-09-14 11:00:00,2025-09-14,11,6,Sunday,1,68,59,127,9,1
2025-09-14 12:00:00,2025-09-14,12,6,Sunday,1,108,89,197,19,1
2025-09-14 13:00:00,2025-09-14,13,6,Sunday,1,148,103,251,45,1
2025-09-14 14:00:00,2025-09-14,14,6,Sunday,1,177,193,370,-16,1
2025-09-14 15:00:00,2025-09-14,15,6,Sunday,1,116,137,253,-21,1
2025-09-14 16:00:00,2025-09-14,16,6,Sunday,1,121,98,219,23,1
2025-09-14 17:00:00,2025-09-14,17,6,Sunday,1,135,92,227,43,1
2025-09-14 18:00:00,2025-09-14,18,6,Sunday,1,196,190,386,6,1
2025-09-14 19:00:00,2025-09-14,19,6,Sunday,1,103,104,207,-1,1
2025-09-14 20:00:00,2025-09-14,20,6,Sunday,1,49,43,92,6,1
2025-09-14 21:00:00,2025-09-14,21,6,Sunday,1,23,23,46,0,1
2025-09-14 22:00:00,2025-09-14,22,6,Sunday,1,0,0,0,0,1
2025-09-14 23:00:00,2025-09-14,23,6,Sunday,1,0,0,0,0,0
2025-09-20 00:00:00,2025-09-20,0,5,Saturday,1,0,0,0,0,0
2025-09-20 01:00:00,2025-09-20,1,5,Saturday,1,0,0,0,0,0
2025-09-20 02:00:00,2025-09-20,2,5,Saturday,1,0,0,0,0,0
2025-09-20 03:00:00,2025-09-20,3,5,Saturday,1,0,0,0,0,0
2025-09-20 04:00:00,2025-09-20,4,5,Saturday,1,0,0,0,0,0
2025-09-20 05:00:00,2025-09-20,5,5,Saturday,1,0,0,0,0,0
2025-09-20 06:00:00,2025-09-20,6,5,Saturday,1,0,0,0,0,0
2025-09-20 07:00:00,2025-09-20,7,5,Saturday,1,0,0,0,0,0
2025-09-20 08:00:00,2025-09-20,8,5,Saturday,1,0,0,0,0,0
2025-09-20 09:00:00,2025-09-20,9,5,Saturday,1,0,0,0,0,0
2025-09-20 10:00:00,2025-09-20,10,5,Saturday,1,0,0,0,0,1
2025-09-20 11:00:00,2025-09-20,11,5,Saturday,1,36,13,49,23,1
2025-09-20 12:00:00,2025-09-20,12,5,Saturday,1,198,85,283,113,1
2025-09-20 13:00:00,2025-09-20,13,5,Saturday,1,280,128,408,152,1
2025-09-20 14:00:00,2025-09-20,14,5,Saturday,1,202,71,273,131,1
2025-09-20 15:00:00,2025-09-20,15,5,Saturday,1,429,222,651,207,1
2025-09-20 16:00:00,2025-09-20,16,5,Saturday,1,257,117,374,140,1
2025-09-20 17:00:00,2025-09-20,17,5,Saturday,1,367,171,538,196,1
2025-09-20 18:00:00,2025-09-20,18,5,Saturday,1,496,217,713,279,1
2025-09-20 19:00:00,2025-09-20,19,5,Saturday,1,291,141,432,150,1
2025-09-20 20:00:00,2025-09-20,20,5,Saturday,1,195,91,286,104,1
2025-09-20 21:00:00,2025-09-20,21,5,Saturday,1,111,64,175,47,1
2025-09-20 22:00:00,2025-09-20,22,5,Saturday,1,12,7,19,5,1
2025-09-20 23:00:00,2025-09-20,23,5,Saturday,1,0,0,0,0,0
2025-09-21 00:00:00,2025-09-21,0,6,Sunday,1,0,0,0,0,0
2025-09-21 01:00:00,2025-09-21,1,6,Sunday,1,0,0,0,0,0
2025-09-21 02:00:00,2025-09-21,2,6,Sunday,1,0,0,0,0,0
2025-09-21 03:00:00,2025-09-21,3,6,Sunday,1,0,0,0,0,0
2025-09-21 04:00:00,2025-09-21,4,6,Sunday,1,0,0,0,0,0
2025-09-21 05:00:00,2025-09-21,5,6,Sunday,1,0,0,0,0,0
2025-09-21 06:00:00,2025-09-21,6,6,Sunday,1,0,0,0,0,0
2025-09-21 07:00:00,2025-09-21,7,6,Sunday,1,0,0,0,0,0
2025-09-21 08:00:00,2025-09-21,8,6,Sunday,1,0,0,0,0,0
2025-09-21 09:00:00,2025-09-21,9,6,Sunday,1,0,0,0,0,0
2025-09-21 10:00:00,2025-09-21,10,6,Sunday,1,0,0,0,0,1
2025-09-21 11:00:00,2025-09-21,11,6,Sunday,1,0,0,0,0,1
2025-09-21 12:00:00,2025-09-21,12,6,Sunday,1,0,0,0,0,1
2025-09-21 13:00:00,2025-09-21,13,6,Sunday,1,22,19,41,3,1
2025-09-21 14:00:00,2025-09-21,14,6,Sunday,1,189,164,353,25,1
2025-09-21 15:00:00,2025-09-21,15,6,Sunday,1,140,105,245,35,1
2025-09-21 16:00:00,2025-09-21,16,6,Sunday,1,152,200,352,-48,1
2025-09-21 17:00:00,2025-09-21,17,6,Sunday,1,135,152,287,-17,1
2025-09-21 18:00:00,2025-09-21,18,6,Sunday,1,109,129,238,-20,1
2025-09-21 19:00:00,2025-09-21,19,6,Sunday,1,122,116,238,6,1
2025-09-21 20:00:00,2025-09-21,20,6,Sunday,1,94,100,194,-6,1
2025-09-21 21:00:00,2025-09-21,21,6,Sunday,1,29,27,56,2,1
2025-09-21 22:00:00,2025-09-21,22,6,Sunday,1,0,0,0,0,1
2025-09-21 23:00:00,2025-09-21,23,6,Sunday,1,0,0,0,0,0
2025-09-27 00:00:00,2025-09-27,0,5,Saturday,1,0,0,0,0,0
2025-09-27 01:00:00,2025-09-27,1,5,Saturday,1,0,0,0,0,0
2025-09-27 02:00:00,2025-09-27,2,5,Saturday,1,0,0,0,0,0
2025-09-27 03:00:00,2025-09-27,3,5,Saturday,1,0,0,0,0,0
2025-09-27 04:00:00,2025-09-27,4,5,Saturday,1,0,0,0,0,0
2025-09-27 05:00:00,2025-09-27,5,5,Saturday,1,0,0,0,0,0
2025-09-27 06:00:00,2025-09-27,6,5,Saturday,1,0,0,0,0,0
2025-09-27 07:00:00,2025-09-27,7,5,Saturday,1,0,0,0,0,0
2025-09-27 08:00:00,2025-09-27,8,5,Saturday,1,0,0,0,0,0
2025-09-27 09:00:00,2025-09-27,9,5,Saturday,1,0,0,0,0,0
2025-09-27 10:00:00,2025-09-27,10,5,Saturday,1,44,29,73,15,1
2025-09-27 11:00:00,2025-09-27,11,5,Saturday,1,86,42,128,44,1
2025-09-27 12:00:00,2025-09-27,12,5,Saturday,1,158,74,232,84,1
2025-09-27 13:00:00,2025-09-27,13,5,Saturday,1,104,50,154,54,1
2025-09-27 14:00:00,2025-09-27,14,5,Saturday,1,150,65,215,85,1
2025-09-27 15:00:00,2025-09-27,15,5,Saturday,1,132,61,193,71,1
2025-09-27 16:00:00,2025-09-27,16,5,Saturday,1,92,51,143,41,1
2025-09-27 17:00:00,2025-09-27,17,5,Saturday,1,126,61,187,65,1
2025-09-27 18:00:00,2025-09-27,18,5,Saturday,1,324,161,485,163,1
2025-09-27 19:00:00,2025-09-27,19,5,Saturday,1,300,151,451,149,1
2025-09-27 20:00:00,2025-09-27,20,5,Saturday,1,142,72,214,70,1
2025-09-27 21:00:00,2025-09-27,21,5,Saturday,1,134,66,200,68,1
2025-09-27 22:00:00,2025-09-27,22,5,Saturday,1,0,0,0,0,1
2025-09-27 23:00:00,2025-09-27,23,5,Saturday,1,0,0,0,0,0
